feature,window_size,rmse
FIRE_Acres_Burned,1,7.3484993
FIRE_Acres_Burned,2,7.304313
FIRE_Acres_Burned,3,7.3152766
FIRE_Acres_Burned,4,7.488353
FIRE_Acres_Burned,5,7.724601
FIRE_Acres_Burned,6,7.894177
FIRE_Acres_Burned,7,7.975641
FIRE_Acres_Burned,8,8.137443
FIRE_Acres_Burned,9,8.246711
FIRE_Acres_Burned,10,8.405575
FIRE_Acres_Burned,11,8.432185
FIRE_Acres_Burned,12,8.411135
PRECIP,1,7.594314
PRECIP,2,7.926513
PRECIP,3,8.211307
PRECIP,4,8.161649
PRECIP,5,7.9116
PRECIP,6,8.098785
PRECIP,7,7.8162913
PRECIP,8,6.995567
PRECIP,9,5.618678
PRECIP,10,4.97621
PRECIP,11,4.6623335
PRECIP,12,4.262517
WIND_EventCount,1,7.6557627
WIND_EventCount,2,8.093625
WIND_EventCount,3,8.628663
WIND_EventCount,4,9.260454
WIND_EventCount,5,9.638155
WIND_EventCount,6,11.057507
WIND_EventCount,7,11.369901
WIND_EventCount,8,11.6121025
WIND_EventCount,9,10.980399
WIND_EventCount,10,11.319152
WIND_EventCount,11,11.0300455
WIND_EventCount,12,12.531682
WIND_AvgMPH,1,8.0525675
WIND_AvgMPH,2,8.335186
WIND_AvgMPH,3,9.360154
WIND_AvgMPH,4,9.922791
WIND_AvgMPH,5,10.01823
WIND_AvgMPH,6,9.968529
WIND_AvgMPH,7,12.591369
WIND_AvgMPH,8,13.55102
WIND_AvgMPH,9,15.012367
WIND_AvgMPH,10,12.405282
WIND_AvgMPH,11,10.389178
WIND_AvgMPH,12,10.004359
WIND_RunMiles,1,8.911794
WIND_RunMiles,2,8.589846
WIND_RunMiles,3,8.180965
WIND_RunMiles,4,9.121942
WIND_RunMiles,5,9.5511265
WIND_RunMiles,6,9.84052
WIND_RunMiles,7,9.348118
WIND_RunMiles,8,12.688981
WIND_RunMiles,9,13.923469
WIND_RunMiles,10,10.99226
WIND_RunMiles,11,11.554304
WIND_RunMiles,12,10.988359
AQI_PM25,1,7.6539087
AQI_PM25,2,7.763993
AQI_PM25,3,8.371395
AQI_PM25,4,9.83803
AQI_PM25,5,22.01242
AQI_PM25,6,21.399515
AQI_PM25,7,31.364927
AQI_PM25,8,15.832101
AQI_PM25,9,15.892444
AQI_PM25,10,19.371525
AQI_PM25,11,20.508587
AQI_PM25,12,18.087227
AQI_PM10,1,6.750072
AQI_PM10,2,5.8121142
AQI_PM10,3,6.2971478
AQI_PM10,4,6.9721975
AQI_PM10,5,7.6485367
AQI_PM10,6,14.835396
AQI_PM10,7,17.501223
AQI_PM10,8,23.37995
AQI_PM10,9,21.573969
AQI_PM10,10,40.210983
AQI_PM10,11,31.191158
AQI_PM10,12,35.87288
EARTHQUAKE_Total,1,7.5205464
EARTHQUAKE_Total,2,7.441404
EARTHQUAKE_Total,3,7.592938
EARTHQUAKE_Total,4,7.8630986
EARTHQUAKE_Total,5,7.97018
EARTHQUAKE_Total,6,8.576412
EARTHQUAKE_Total,7,8.748004
EARTHQUAKE_Total,8,9.400098
EARTHQUAKE_Total,9,9.386353
EARTHQUAKE_Total,10,9.749366
EARTHQUAKE_Total,11,9.613428
EARTHQUAKE_Total,12,8.678704
PESTICIDE_Total,1,7.2949834
PESTICIDE_Total,2,7.3654823
PESTICIDE_Total,3,8.225218
PESTICIDE_Total,4,10.140957
PESTICIDE_Total,5,11.6110325
PESTICIDE_Total,6,12.394408
PESTICIDE_Total,7,13.164368
PESTICIDE_Total,8,14.926818
PESTICIDE_Total,9,17.403276
PESTICIDE_Total,10,20.264595
PESTICIDE_Total,11,16.279093
PESTICIDE_Total,12,11.240018
