feature,window_size,rmse
FIRE_Acres_Burned,1,2.6780887
FIRE_Acres_Burned,2,2.4881644
FIRE_Acres_Burned,3,2.2480347
FIRE_Acres_Burned,4,2.034912
FIRE_Acres_Burned,5,2.196597
FIRE_Acres_Burned,6,2.4873924
FIRE_Acres_Burned,7,1.5970455
FIRE_Acres_Burned,8,1.6365051
FIRE_Acres_Burned,9,1.4470499
FIRE_Acres_Burned,10,1.4338249
FIRE_Acres_Burned,11,1.357533
FIRE_Acres_Burned,12,1.3101685
PRECIP,1,2.791096
PRECIP,2,2.8542354
PRECIP,3,2.8104455
PRECIP,4,2.5557172
PRECIP,5,2.13734
PRECIP,6,3.2960057
PRECIP,7,2.7249415
PRECIP,8,3.4769464
PRECIP,9,1.7137353
PRECIP,10,1.1299977
PRECIP,11,1.6050826
PRECIP,12,1.5407733
WIND_EventCount,1,2.8768685
WIND_EventCount,2,2.9165852
WIND_EventCount,3,2.9186184
WIND_EventCount,4,2.6304388
WIND_EventCount,5,2.6695728
WIND_EventCount,6,2.5381649
WIND_EventCount,7,2.428665
WIND_EventCount,8,3.2666023
WIND_EventCount,9,3.9186933
WIND_EventCount,10,2.3727791
WIND_EventCount,11,2.6462135
WIND_EventCount,12,2.9226213
WIND_AvgMPH,1,2.8572001
WIND_AvgMPH,2,2.9565837
WIND_AvgMPH,3,2.8455348
WIND_AvgMPH,4,2.622527
WIND_AvgMPH,5,2.6971366
WIND_AvgMPH,6,2.822378
WIND_AvgMPH,7,1.9272221
WIND_AvgMPH,8,2.6874986
WIND_AvgMPH,9,3.4009323
WIND_AvgMPH,10,2.165245
WIND_AvgMPH,11,2.3884728
WIND_AvgMPH,12,1.7797357
WIND_RunMiles,1,2.9109995
WIND_RunMiles,2,2.8867831
WIND_RunMiles,3,2.8352993
WIND_RunMiles,4,2.8014085
WIND_RunMiles,5,2.530263
WIND_RunMiles,6,2.8105733
WIND_RunMiles,7,2.6574047
WIND_RunMiles,8,2.0261059
WIND_RunMiles,9,2.649868
WIND_RunMiles,10,2.3158276
WIND_RunMiles,11,2.6552858
WIND_RunMiles,12,2.9143112
AQI_PM25,1,2.7870173
AQI_PM25,2,2.7864032
AQI_PM25,3,2.7756608
AQI_PM25,4,2.7863948
AQI_PM25,5,2.8120239
AQI_PM25,6,3.1045215
AQI_PM25,7,2.960637
AQI_PM25,8,3.0600398
AQI_PM25,9,3.6815057
AQI_PM25,10,2.833041
AQI_PM25,11,3.3258517
AQI_PM25,12,3.3776271
AQI_PM10,1,2.749708
AQI_PM10,2,2.7240474
AQI_PM10,3,3.2508605
AQI_PM10,4,3.8835983
AQI_PM10,5,2.746561
AQI_PM10,6,2.9926107
AQI_PM10,7,3.150027
AQI_PM10,8,2.6548438
AQI_PM10,9,2.061068
AQI_PM10,10,1.7851423
AQI_PM10,11,1.1022246
AQI_PM10,12,2.2238643
EARTHQUAKE_Total,1,2.7591417
EARTHQUAKE_Total,2,2.8128405
EARTHQUAKE_Total,3,2.7155418
EARTHQUAKE_Total,4,2.7616217
EARTHQUAKE_Total,5,2.9192219
EARTHQUAKE_Total,6,2.5820403
EARTHQUAKE_Total,7,2.956012
EARTHQUAKE_Total,8,2.7949002
EARTHQUAKE_Total,9,2.9078472
EARTHQUAKE_Total,10,2.4346092
EARTHQUAKE_Total,11,3.0073113
EARTHQUAKE_Total,12,1.9709797
PESTICIDE_Total,1,2.8186963
PESTICIDE_Total,2,2.815895
PESTICIDE_Total,3,2.9615397
PESTICIDE_Total,4,3.275207
PESTICIDE_Total,5,3.128383
PESTICIDE_Total,6,3.5567274
PESTICIDE_Total,7,3.024174
PESTICIDE_Total,8,2.512695
PESTICIDE_Total,9,2.5506184
PESTICIDE_Total,10,2.0351229
PESTICIDE_Total,11,1.7738305
PESTICIDE_Total,12,3.1733582
