Unit,County,Agency FDID,Incident ,Incident Date,Exposure,Fire Name,Incident Type ,Property Use,Address/Location,Latitude,Longitude,Cause,Total Loss,Acres Burned,FS Injury,FS Death,Civ Injury,Civ Death
CZU,San Mateo,41045,0000002, 01/01/2019,0,CAPISTRANO RD / PROSPECT,142,931,470  CAPISTRANO RD  HALF_MOON_BAY_UNINC 94019,37.5063,-122.4848,Under Investigation,0.00,0.01,0,0,0,0
SHU,Shasta,45555,0000017, 01/01/2019,0,SMITH,141,900,30500  Smith Road RD Oak Run 96069,40.7027,-121.8426,Arson,0.00,4.70,0,0,0,0
BEU,Monterey,27555,0000022, 01/01/2019,0,EL BOSQUE,141,960,  EL BOSQUE DR/SUNRIDGE RD  CARMEL_HILL 93953,36.5741,-121.9169,Debris Burning,0.00,0.00,0,0,0,0
RRU,Riverside,33080,0000216, 01/01/2019,0,FLEETWOOD,142,931,1890  Market ST Jurupa Valley 92509,34.0188,-117.6321,Vehicle,0.00,5.90,0,0,0,0
RRU,Riverside,33090,0000006, 01/01/2019,0,BRECHTEL,142,419,32750  BRECHTEL ST Lakeland Village 92530,34.0326,-117.5141,Miscellaneous,250.00,0.01,0,0,0,0
HUU,Humboldt,12555,0000001, 01/01/2019,0,SPROWL,142,931,Camp A S 101 HWY Garberville 95542,40.1011,-123.7972,Under Investigation,0.00,0.12,0,0,0,0
HUU,Humboldt,12555,0000020, 01/01/2019,0,PILOT,142,669,  Pilot Rock  Dinsmore 95526,40.6084,-123.6724,Equipment,0.00,30.00,0,0,0,0
LNU,Napa,28555,0000018, 01/01/2019,0,HWY 128   CALISTOGA_NORTH,143,931,3835  HWY 128  CALISTOGA_NORTH 94515,38.6019,-122.6369,Electrical Power,0.00,0.10,0,0,0,0
RRU,Riverside,33555,0000510, 01/02/2019,0,DELL 2,142,931,2098  20th ST Jurupa Valley 92509,34.0404,-117.6717,Arson,0.00,2.00,0,0,0,0
AEU,El Dorado,09555,0000145, 01/02/2019,0,TOMAHAWK 2,142,400,3135  TOMAHAWK RD Auburn Lake Trails 95614,38.8565,-120.9862,Debris Burning,0.00,0.10,0,0,0,0
MMU,Mariposa,22555,0000114, 01/02/2019,0,SNOW,143,931,5589  SNOW CREEK FALL LUSH_MEADOWS 95338,37.5010,-119.8212,Miscellaneous,0.00,0.12,0,0,0,0
LNU,Lake,17555,0000100, 01/02/2019,0,MORGAN,142,931,18300  MORGAN VALLEY RD LOWER_LAKE 95457,38.9022,-122.5719,Debris Burning,2.00,1.00,0,0,0,0
MEU,Mendocino,23555,0000061, 01/02/2019,0,HWY 162 MP 021.00 COVELO,141,669,  HWY 162 MP 024.44  Covelo 95429,39.7350,-123.2583,Miscellaneous,0.00,0.10,0,0,0,0
RRU,Riverside,33010,0001163, 01/03/2019,0,E 2ND ST MARKETPLACE   BE,143,900,  E 1ST ST/LUNA AV  Beaumont 92223,33.9252,-116.9602,Smoking,0.00,0.01,0,0,0,0
TGU,Tehama,52555,0000113, 01/03/2019,0,KELLY,143,931,3575  KELLY RD Paskenta 96074,39.9019,-122.5718,Debris Burning,0.00,1.07,0,0,0,0
TGU,Tehama,52030,0000122, 01/03/2019,0,FAIRLIE,142,419,22784  FAIRLIE LN ELCAMINO 96035,40.0083,-122.1852,Debris Burning,0.00,0.20,0,0,0,0
RRU,Riverside,33115,0001343, 01/03/2019,0,I 15  N/ WINCHESTER RD OF,143,961,  I 15 NSOWINCHESTER RD OFRP  Temecula 92591,33.4957,-117.1469,Smoking,0.00,0.10,0,0,0,0
HUU,Humboldt,12555,0000089, 01/03/2019,0,MULLEN,143,962,1056  Tim Mullen RD Kneeland 95549,40.7207,-123.9515,Undetermined,0.00,0.50,0,0,0,0
BDU,San Bernardino,36555,0000164, 01/03/2019,0,PIONEERTOWN RD / BALDWIN,141,419,46784  PIONEERTOWN DR BIG_BEAR_LAKE_AREA 92314,34.2663,-116.7817,Campfire,0.00,0.01,0,0,0,0
RRU,Riverside,33034,0001273, 01/03/2019,0,I 15  S/ LIMONITE AV OFRP,143,961,  I 15 SNOLIMONITE AV OFRP  Eastvale 91752,33.9792,-117.5490,Smoking,0.00,0.01,0,0,0,0
MMU,Mariposa,22555,0000271, 01/04/2019,0,OPHIR,143,931,  MT OPHIR RD/HWY 49 N  MT_BULLION 95338,37.5184,-120.0738,Debris Burning,0.00,1.00,0,0,0,0
SLU,San Luis Obispo,40555,0000172, 01/04/2019,0,W FOOTHILL BLVD / OCONNOR,143,936,  W FOOTHILL BLVDS RD SLO_CO 93405,35.2811,-120.7091,Campfire,0.00,1.00,0,0,0,0
AEU,El Dorado,09555,0000472, 01/05/2019,0,50,142,669, W Hwy 50 HWY POLLOCK_PINES 95726,38.7598,-120.5829,Under Investigation,0.00,0.10,0,0,0,0
BDU,San Bernardino,36555,0000241, 01/05/2019,0,SESAME RD / SUMMIT TRUCK,561,419,11242  SESAME RD HESPERIA_AREA 92344,34.5802,-117.6940,Debris Burning,0.00,0.25,0,0,0,0
BDU,San Bernardino,36555,0000257, 01/05/2019,0,BURNS CANYON RD  RIMROCK,142,900,2835  TUMBLE WEED TRL Rimrock 92268,34.1972,-116.5580,Miscellaneous,0.00,0.10,0,0,0,0
RRU,Riverside,33020,0002054, 01/05/2019,0,ORCHARD AV / SHADY LN,143,900,  ORCHARD AV/SHADY LN  Coachella 92236,34.1265,-116.2884,Playing with Fire,0.00,1.00,0,0,0,0
RRU,Riverside,33035,0002051, 01/05/2019,0,COLLIER AV / NICHOLS RD,143,400,  COLLIER AV/NICHOLS RD  Lake Elsinore 92530,0.0000,0.0000,Arson,0.00,1.00,0,0,0,0
RRU,Riverside,33035,0002222, 01/05/2019,0,JOY ST / RIVERSIDE DR,142,931,  JOY ST/RIVERSIDE DR  Lake Elsinore 92530,33.6783,-117.3687,Arson,0.00,0.01,0,0,0,0
BTU,Butte,04035,0000170, 01/05/2019,0,VIRGINIA ST  STH_CHICO,561,419,781  VIRGINIA ST STH_CHICO 95928,39.7235,-121.8198,Debris Burning,0.00,0.01,0,0,0,0
NEU,Placer,31555,0000426, 01/05/2019,0,MORNING,142,931,4060  MORNING STAR PL FORESTHILL_VFD 95631,39.0177,-122.5036,Debris Burning,0.00,0.01,0,0,0,0
RRU,Riverside,33105,0002286, 01/05/2019,0,PORTOLA,142,900,43101  PORTOLA AVE Palm Desert 92260,33.7355,-116.3713,Campfire,100.00,0.01,0,0,0,0
AEU,El Dorado,09555,0000749, 01/07/2019,0,LOCKIE CT  DIAMOND_SPRING,142,000,    City of Placerville 95667,39.1654,-121.3660,Campfire,0.00,0.10,0,0,0,0
BDU,San Bernardino,36555,0000393, 01/08/2019,0,HWY 189  / LAKE GREGORY D,143,961,  Hwy 18  Crestline 92391,34.2287,-117.2501,Undetermined,0.00,0.10,0,0,0,0
RRU,Riverside,33090,0003990, 01/09/2019,0,PICO AV / ELLIS AV,171,419,24155  PICO AVE Nuevo 92585,0.0000,0.0000,Debris Burning,0.00,0.00,0,0,0,0
MVU,San Diego,37555,0000550, 01/11/2019,0,ILLEGAL BURNING,561,962,6989 W LILAC RD Bonsall 92003,32.2894,-117.1760,Miscellaneous,0.00,0.02,0,0,0,0
RRU,Riverside,33090,0005141, 01/11/2019,0,SEELEY,142,419,  SEELEY AVE City of Blythe 92225,33.6057,-114.5833,Undetermined,0.00,1.00,0,0,0,0
BDU,San Bernardino,36555,0000571, 01/12/2019,0,BEEKLEY RD  PHELAN,143,960,10088  BEEKLEY RD Phelan 92371,34.4262,-117.5877,Vehicle,0.00,0.01,0,0,0,0
RRU,Riverside,33035,0005324, 01/12/2019,0,COYOTE COVE LELS,142,931,32040  RIVERSIDE DR Lake Elsinore 92530,33.6717,-117.3728,Campfire,0.00,0.01,0,0,0,0
BTU,Butte,04555,0000504, 01/13/2019,0,COHASSET,141,960,3203  STONEWALL DR NOR_CHICO 95973,39.8247,-121.8402,Vehicle,0.00,0.20,0,0,0,0
AEU,Amador,03555,0001399, 01/14/2019,0,HY 49 BYPASS  / SUTTER IO,143,931,  HY 49 BYPASS/SUTTER IONE RD  SUTTER_CREEK 95640,38.4049,-120.8221,Vehicle,0.00,0.01,0,0,0,0
LMU,Lassen,18555,0000259, 01/14/2019,0,PIT,143,400,641-875  Pitt Canyon Road  Pittville 96056,41.0494,-121.3149,Debris Burning,0.00,9.10,0,0,0,0
BTU,Butte,04035,0000597, 01/15/2019,0,5TH ST  THERMALITO,141,931,1744  5TH ST Thermalito 95965,39.5142,-121.5755,Undetermined,0.00,0.10,0,0,0,0
MMU,Madera,20010,0001176, 01/15/2019,0,N GATEWAY DR /E CENTRAL A,561,946,  N GATEWAY DR/E CENTRAL AV  City of Madera 93637,36.9683,-120.0667,Debris Burning,0.00,0.00,0,0,0,0
BEU,Monterey,27024,0000283, 01/15/2019,0,MONTE,141,900,3600  VIA MAR MONTE  CARMEL_HILL 93923,36.9473,-122.5186,Electrical Power,0.00,0.10,0,0,0,0
RRU,Riverside,33555,0007175, 01/16/2019,0,RED MOUNTAIN RD / BALLING,142,400,43135  COSMO DR Hemet 92544,33.6049,-116.9382,Debris Burning,0.00,0.00,0,0,0,0
CZU,San Mateo,41115,0000562, 01/17/2019,0,CABRILLO HWY   PESCADERO,142,962,10299  CABRILLO HWY Pescadero 94060,37.2150,-122.4064,Electrical Power,10.00,0.01,0,0,0,0
RRU,Riverside,33090,0009311, 01/21/2019,0,JACKSON ST / AIRPORT BL,173,655,  JACKSON ST/AIRPORT BL  Coachella 92274,33.6815,-116.2980,Campfire,0.00,1.00,0,0,0,0
AEU,El Dorado,09555,0002424, 01/24/2019,0,BRIDGEPORT,141,419,3500  BRIDGEPORT SCHOOL RD MT_AUKUM 95629,38.5355,-120.6996,Playing with Fire,0.00,0.00,0,0,0,0
TCU,Calaveras,05555,0001020, 01/24/2019,0,RAINBOW,142,931,18702  RAINBOW RD MT_RANCH 95245,38.2700,-120.5417,Debris Burning,0.00,1.00,0,0,0,0
LNU,Lake,17555,0001610, 01/26/2019,0,MANSION,561,419,20104 S HWY 29  Middletown 95461,38.7688,-122.5868,Debris Burning,0.00,3.00,0,0,0,0
RRU,Riverside,33090,0011667, 01/26/2019,0,CLAY,142,931,  VAN BUREN BL/CLAY ST  Jurupa Valley 92509,33.9667,-117.4630,Campfire,0.00,1.50,0,0,0,0
BDU,San Bernardino,36555,0001289, 01/26/2019,0,DODGE RD  LUCERNE_VALLEY,561,931,28522  SUTTER RD LUCERNE_VALLEY 92356,34.4225,-117.0411,Debris Burning,0.00,0.10,0,0,0,0
RRU,Riverside,33035,0011999, 01/27/2019,0,RIVERSIDE DR / JOY ST,142,931,  RIVERSIDE DR/JOY ST  Lake Elsinore 92530,33.6803,-117.3697,Arson,0.00,0.01,0,0,0,0
RRU,Riverside,33050,0011899, 01/27/2019,0,JACKSON ST / AVE 48,142,931,  JACKSON ST/AVE 48  Indio 92236,33.7003,-116.2164,Campfire,0.00,0.10,0,0,0,0
MMU,Madera,20015,0001989, 01/27/2019,0,GOLDEN STATE BL / AVE 18,142,419,  GOLDEN STATE BL/AVE 18  MADERA_ACRES 93637,37.0167,-120.1251,Railroad,0.00,0.01,0,0,0,0
BDU,San Bernardino,36555,0001370, 01/28/2019,0,SHEEP CREEK RD / PHELAN R,142,931,  Sheep Creek Rd  Phelan 92371,34.4319,-117.5727,Under Investigation,0.00,0.01,0,0,0,0
AEU,Amador,03555,0002848, 01/28/2019,0,SHAKE,143,931,17001  SHAKE RIDGE RD LOCKWOOD 95685,38.4414,-120.7096,Electrical Power,0.00,0.01,0,0,0,0
MEU,Mendocino,23555,0001207, 01/29/2019,0,GOAT,142,NNN,3480  GOAT ROCK RD MCNAB_RANCH 95482,39.0183,-123.2003,Debris Burning,0.00,0.25,0,0,0,0
BEU,Monterey,27555,0000599, 01/30/2019,0,CHULAR,142,931,30445  CHUALAR CANYON RD MC_REGIONAL 93925,33.6107,-121.4144,Miscellaneous,0.00,3.50,0,0,0,0
AEU,Amador,03555,0003123, 01/31/2019,0,BLACK OAK,142,400,20100  BLACK OAK DR Fiddletown 95689,38.4886,-120.6577,Debris Burning,1.00,0.75,0,0,0,0
RRU,Riverside,33090,0014429, 02/01/2019,0,RIDGEVIEW TER / VIA SANTI,142,419,  RIDGEVIEW TER/VIA SANTIAGO  Corona 92882,33.8789,-117.6073,Campfire,0.00,0.10,0,0,0,0
FKU,Fresno,10555,0001617, 02/04/2019,0,CRUMP,142,931,  HWY 198/CRUMP LN  Coalinga 93210,36.1909,-120.9527,Electrical Power,0.00,0.01,0,0,0,0
MVU,San Diego,37555,0001715, 02/04/2019,0,MUSSEY GRADE RD  RAMONA 8,142,400,15046  MUSSEY GRADE RD Ramona Census Design 92065,33.0242,-116.8520,Debris Burning,0.00,0.05,0,0,0,0
RRU,Riverside,33090,0016375, 02/05/2019,0,66,142,931,  AVE 66  Mecca 92274,33.5696,-116.0859,Arson,0.00,3.00,0,0,0,0
RRU,Riverside,33090,0017181, 02/07/2019,0,AVE 66   MECC,142,936,91562  AVE 66  Mecca 92254,0.0000,0.0000,Arson,0.00,0.01,0,0,0,0
SLU,San Luis Obispo,40555,0001745, 02/07/2019,0,RIDGE RD / CARBON CANYON,561,400,1355  SANTA RITA RD Templeton 93465,35.6859,-120.6764,Debris Burning,0.00,0.10,0,0,0,0
SCU,Santa Clara,43045,0000856, 02/07/2019,0,MADRONE AV / DOUGHERTY AV,561,419,514  DOUGHERTY AVE S_SAN_JOSE 95037,37.2658,-122.1392,Debris Burning,0.00,0.00,0,0,0,0
BDU,San Bernardino,36555,0001943, 02/08/2019,0,LA MESA RD  PINION_HILLS,142,419,1425  LA MESA RD PINION_HILLS 92372,34.4852,-117.6220,Undetermined,"10,000.00",0.10,0,0,0,0
RRU,Riverside,33085,0018535, 02/10/2019,0,COTTONWOOD AV  SANJ,142,419,480 S Warren RD San Jacinto 92582,33.7839,-117.0340,Debris Burning,0.00,1.00,0,0,0,0
MVU,San Diego,37555,0002102, 02/11/2019,0,SALMON,143,961,  SALMON RD/HWY 78  WITCH_CREEK 92065,33.0485,-116.8356,Undetermined,0.00,0.10,0,0,0,0
RRU,Riverside,33090,0019592, 02/12/2019,0,DUCK,142,900,  DAVIS RD/S CONTOUR RD  Lakeview 92555,33.8696,-117.1052,Campfire,0.00,0.10,0,0,0,0
SLU,San Luis Obispo,40555,0002012, 02/12/2019,0,CAMINO,141,808,1348  CAMINO CABALLO  Nipomo Census Design 93444,35.0369,-120.5391,Equipment,"5,000.00",0.10,0,0,0,0
FKU,Fresno,10032,0001967, 02/12/2019,0,I 5 ACCESS RAMP  /W SHIEL,142,900,  I 5 ACCESS RAMP/W SHIELDS AVE  Mendota 93622,36.7910,-120.7241,Debris Burning,0.00,1.00,0,0,0,0
RRU,Riverside,33090,0019950, 02/13/2019,0,VIA LAS PALMAS   THOU,142,419,31695  VIA LAS PALMAS  Thousand Palms 92276,34.3654,-116.6225,Playing with Fire,"1,000.00",0.10,0,0,0,0
RRU,Riverside,33010,0020766, 02/14/2019,0,SUNNYSLOPE AV / BROOKSIDE,561,931,11243  SUNNYSLOPE AVE Beaumont 92223,34.5969,-117.6125,Debris Burning,0.00,0.01,0,0,0,0
CZU,Santa Cruz,44095,0001310, 02/14/2019,0,BROWNS VALLEY RD  CORRALI,141,931,190  BROWNS VALLEY RD Corralitos 95076,36.9910,-121.7929,Lightning,0.00,0.01,0,0,0,0
FKU,Fresno,10032,0002081, 02/14/2019,0,S ALPINE   COALINGA,141,419,42000 S ALPINE  Coalinga 93210,36.1141,-120.2943,Electrical Power,0.00,0.01,0,0,0,0
RRU,Riverside,33090,0022255, 02/18/2019,0,LINCOLN ST / AVE 66,142,931,  LINCOLN ST/AVE 66  Mecca 92274,33.5789,-116.0764,Debris Burning,0.00,0.01,0,0,0,0
FKU,Fresno,10032,0002251, 02/18/2019,0,I 5  / HUDSON OC,142,931,40010 W Dinuba Ave FLD City of Mendota 93640,36.5748,-120.5446,Debris Burning,0.00,0.01,0,0,0,0
TUU,Tulare,54555,0000033, 02/19/2019,0,AVENUE 32  / HWY 65,143,931,  HWY 65/AVENUE 32  Richgrove 93218,35.8425,-119.0522,Arson,0.00,0.00,0,0,0,0
BDU,Inyo,14555,0002503, 02/20/2019,0,P3,561,900,One mile  Highway 168 East  BIG_PINE_FIRE_DISTRI 93513,37.1714,-118.2773,Debris Burning,0.00,0.01,0,0,0,0
RRU,Riverside,33090,0023249, 02/20/2019,0,IOWA AV / PALMER ST,561,419,1258  PALMER ST Highgrove 92507,34.0245,-117.5652,Debris Burning,0.00,0.00,0,0,0,0
RRU,Riverside,33090,0023517, 02/20/2019,0,BEACHCOMBER WY  MECC,142,936,69165  BEACHCOMBER  Mecca 92254,33.9101,-116.5676,Debris Burning,0.00,1.00,0,0,0,0
RRU,Riverside,33060,19365, 02/20/2019,0,,561,936,320  7TH ST Norco 92860,0.0000,0.0000,Campfire,0.00,0.00,0,0,0,0
MMU,Merced,24005,0003877, 02/22/2019,0,SANTA CRUZ DR  ATWATER_CI,142,900,2190  SANTA CRUZ DR ATWATER_CITY 95301,37.5918,-120.9795,Undetermined,0.00,0.10,0,0,0,0
MMU,Merced,24005,0003883, 02/22/2019,0,SCH BELLEVUE ELEMENTARY A,143,900,2194 NE Santa Cruz RDS City of Atwater 95301,37.5918,-120.9795,Undetermined,0.00,0.10,0,0,0,0
AEU,El Dorado,09555,0005845, 02/23/2019,0,BASS,143,960,  BASS LAKE RD/GREEN VALLEY RD  Rescue 95672,38.6799,-120.8699,Undetermined,0.00,0.01,0,0,0,0
RRU,Riverside,33050,0024836, 02/23/2019,0,COUNTRY,141,951,  Country Club Drive  Indio 92203,33.7413,-116.2672,Undetermined,0.00,0.01,0,0,0,0
RRU,Riverside,33090,0025233, 02/24/2019,0,OVERVIEW DR / TACK RD,561,931,38191  INDIAN OAKS DR Hemet 92592,34.0057,-117.0010,Debris Burning,0.00,0.10,0,0,0,0
RRU,Riverside,33035,0025059, 02/24/2019,0,N RILEY ST /W HEALD AV,142,962,  N RILEY ST  Lake Elsinore 92530,33.6706,-117.3296,Campfire,0.00,0.00,0,0,0,0
SLU,San Luis Obispo,40555,0002652, 02/25/2019,0,NACIMIENTO RESORT MARINA,561,659,11070  Nacimiento Lake  City of El Paso de R 93446,35.7704,-120.8876,Debris Burning,0.00,0.01,0,0,0,0
SLU,San Luis Obispo,40555,0002650, 02/25/2019,0,ROCKY,142,900,4700  ROCKY CANYON RD SLO_CO 93422,35.4997,-120.6522,Campfire,0.00,0.10,0,0,0,0
SLU,San Luis Obispo,40080,0002683, 02/25/2019,0,EXLINE RD  SLO_CO,142,419,973  EXLINE RD SLO_CO 93446,35.6813,-120.7109,Debris Burning,0.00,0.10,0,0,0,0
RRU,Riverside,33090,0026283, 02/26/2019,0,VAN BUREN BL / STUDIO PL,561,938,  VAN BUREN BL/STUDIO PL  Jurupa Valley 92509,34.6411,-117.7889,Campfire,0.00,0.01,0,0,0,0
MVU,San Diego,37555,0002958, 02/26/2019,0,WILDCAT CANYON RD  BARO 2,142,931,13276  WILDCAT CANYON RD Barona 92040,32.9219,-116.8717,Vehicle,0.00,1.00,0,0,0,0
MVU,San Diego,37555,0003038, 02/27/2019,0,ROADRUNNER RIDGE   DEER 2,561,419,10861  COYOTE TRL Valley Center 92082,33.2690,-117.0958,Debris Burning,0.00,1.00,0,0,0,0
RRU,Riverside,33115,0027141, 02/28/2019,0,VISTA DEL RANCHO   TEM,142,900,43064  VISTA DEL RANCHO  Temecula 92592,33.4962,-117.1322,Equipment,0.00,0.00,0,0,0,0
SLU,San Luis Obispo,40555,0002788, 02/28/2019,0,MORO,143,931,1550  EL MORO AVE Los Osos Census Desi 93402,35.3201,-120.8176,Playing with Fire,0.00,0.10,0,0,0,0
BDU,San Bernardino,36555,0002906, 02/28/2019,0,YUCATAN RD  PINION_HILLS,561,419,11770  YUCATAN RD PINION_HILLS 92371,34.3999,-117.4749,Debris Burning,0.00,0.10,0,0,0,0
RRU,Riverside,33090,0027467, 03/01/2019,0,DESERT CHARM RD  INDO,142,931,29800  DESERT CHARM RD Indio 92241,33.8329,-116.2399,Vehicle,0.00,0.10,0,0,0,0
MMU,Madera,20010,0004331, 03/01/2019,0,RIVERSIDE DR /N D ST,561,946,  RIVERSIDE DR  MADERA_CITY 93638,36.9684,-120.0633,Debris Burning,0.00,0.01,0,0,0,0
MVU,San Diego,37130,0003195, 03/02/2019,0,ASHLEY RD  RAMONA 3,561,419,1710  ASHLEY RD Ramona 92065,33.3637,-117.4298,Debris Burning,0.00,0.01,0,0,0,0
RRU,Riverside,33020,0028845, 03/04/2019,0,LA HERNANDEZ ST  COAC,142,931,51592  LA HERNANDEZ ST Coachella 92236,33.6705,-117.5352,Campfire,0.00,0.10,0,0,0,0
RRU,Riverside,33035,0029357, 03/05/2019,0,LEHR DR / KANSAS ST,142,931,  LEHR DR  Lake Elsinore 92530,33.6816,-117.3661,Campfire,0.00,0.00,0,0,0,0
BTU,Butte,04035,0002525, 03/05/2019,0,THIRTY TWO,561,899,2590  HWY 32  WEST_CHICO 95973,39.7426,-121.8876,Debris Burning,0.00,0.00,0,0,0,0
RRU,Riverside,33050,0030078, 03/06/2019,0,JACKSON ST / AVE 42,142,965,  JACKSON ST/AVE 42  Indio 92203,34.2400,-116.3612,Arson,0.00,1.00,0,0,0,0
RRU,Riverside,33090,0030197, 03/07/2019,0,5TH ST / FRANK J VALDOVIN,142,931,  5TH ST/FRANK J VALDOVINO RD  Mecca 92254,33.5699,-116.1325,Arson,0.00,0.10,0,0,0,0
MEU,Mendocino,23555,0003066, 03/09/2019,0,PARK,142,419,24750  PARK DR Cleone 95437,39.8230,-124.3131,Debris Burning,0.00,0.10,0,0,0,0
RRU,Riverside,33090,0031280, 03/09/2019,0,AVE 54  / JACKSON ST,142,900,  AVE 54/JACKSON ST  Coachella 92274,33.6566,-116.2166,Miscellaneous,0.00,0.25,0,0,0,0
BDU,San Bernardino,36555,0003336, 03/09/2019,0,SUMMIT VALLEY RD / TELEPH,142,919,  SUMMIT VALLEY RD/TELEPHONE CAN  HESPERIA_AREA 92345,34.3663,-117.3234,Undetermined,0.00,0.01,0,0,0,0
BTU,Butte,04555,0002791, 03/11/2019,0,TANGERINE,561,419,2847 S VILLA AVE Palermo 95966,39.4332,-121.5282,Debris Burning,0.00,0.01,0,0,0,0
RRU,Riverside,33090,0032655, 03/12/2019,0,HARRISON,142,931,  HARRISON STATAVE 62  Coachella 92274,33.9982,-116.3039,Undetermined,0.00,0.25,0,0,0,0
BTU,Butte,04035,0002822, 03/12/2019,0,5TH ST / YUBA AVE,141,931,  5TH ST/YUBA AVE  Thermalito 95965,39.8566,-121.9598,Arson,0.00,0.00,0,0,0,0
TGU,Tehama,52555,0002771, 03/13/2019,0,PASKENTA IC,143,960,  ROUND VALLEY RD/TOOMES CAMP RD  Paskenta 96074,39.8678,-122.5700,Electrical Power,0.00,0.01,0,0,0,0
RRU,Riverside,33035,0033757, 03/14/2019,0,SUMMERHILL DR / RAILROAD,141,960,  SUMMERHILL DR  Lake Elsinore 92532,34.1059,-117.4963,Electrical Power,0.00,0.10,0,0,0,0
BTU,Butte,04555,0002915, 03/14/2019,0,NIMSHEW RD / SKYWAY,561,419,14988  NIMSHEW RD MGLA 95954,39.8523,-121.6076,Debris Burning,0.00,0.01,0,0,0,0
TCU,Calaveras,05555,0003219, 03/14/2019,0,HWY 26  / PALOMA RD,143,961,  HWY 26/PALOMA RD  Paloma 95245,38.2637,-120.7373,Vehicle,0.00,0.10,0,0,0,0
LNU,Sonoma,49555,0004535, 03/14/2019,0,MEYERS,142,961,  Highway 1 at mile post marker  Jenner 95450,38.5008,-123.2151,Vehicle,0.00,0.25,0,0,0,0
RRU,Riverside,33005,0033646, 03/14/2019,0,I 10  W/ HIGHLAND SPRINGS,143,961,  I 10 W/HIGHLAND SPRINGS AV OFR  Banning 92220,33.9227,-116.9379,Smoking,0.00,1.00,0,0,0,0
AEU,El Dorado,09555,0007817, 03/15/2019,0,50,143,931,  HY 50 EBWOEL DORADO HILLS EO  EL_DORADO_HILLS 95762,38.6524,-121.0869,Under Investigation,0.00,0.01,0,0,0,0
RRU,Riverside,33090,0034268, 03/15/2019,0,2ND,142,931,  N/O 2nd Ave  Blythe 92225,33.7094,-114.5554,Campfire,0.00,3.00,1,0,0,0
RRU,Riverside,33090,0034071, 03/15/2019,0,LINCOLN,142,936,  LINCOLN ST Mecca 92254,33.9185,-116.1305,Arson,0.00,560.00,0,0,0,0
FKU,Fresno,10032,0003438, 03/15/2019,0,RIVER,143,655,15421  E SHIELDS AVE  Sanger 93657,36.7761,-119.5064,Debris Burning,0.00,0.00,0,0,0,0
SLU,San Luis Obispo,40080,0003496, 03/15/2019,0,CENTRE,143,960,  E CENTRE ST  SHAN 93461,35.6532,-120.3710,Electrical Power,0.00,0.01,0,0,0,0
RRU,Riverside,33005,0034109, 03/15/2019,0,W RAMSEY ST  BAN,143,960,3642 W RAMSEY ST Banning 92220,34.5438,-117.5279,Arson,0.00,0.10,0,0,0,0
RRU,Riverside,33030,0033857, 03/15/2019,0,TAMAR DR / PARMA DR,142,931,  TAMAR DR/PARMA DR  Desert Hot Springs 92240,33.9550,-116.4882,Undetermined,0.00,0.01,0,0,0,0
RRU,Riverside,33050,0033852, 03/15/2019,0,HY 111  / MADISON ST,142,965,  80962 CA-111 N  Indio 92201,34.1793,-117.1793,Arson,0.00,0.01,0,0,0,0
RRU,Riverside,33090,0034561, 03/16/2019,0,AVE 66  / DATE PALM ST,142,936,91391  66th AVE Mecca 92254,33.5678,-116.0721,Undetermined,0.00,0.10,0,0,0,0
RRU,Riverside,33035,0034386, 03/16/2019,0,ULLA LN  LELS,143,419,3761  ULLA LN Lake Elsinore 92530,33.6684,-117.3866,Vehicle,0.00,0.50,0,0,0,0
SHU,Shasta,45555,0002835, 03/17/2019,0,HOT,142,419,30267  HOT SPRINGS RD Big Bend 96011,41.0212,-121.9186,Debris Burning,0.00,0.50,0,0,0,0
AEU,El Dorado,09555,0008011, 03/17/2019,0,CLARK,142,400,6925  CLARK MOUNTAIN RD Coloma 95651,38.8172,-121.0290,Debris Burning,0.00,0.10,0,0,0,0
RRU,Riverside,33090,0034991, 03/17/2019,0,INTREPID RD / DE PORTOLA,561,419,  VOYAGER RD/BRESLIN RD  Temecula 92592,33.5865,-116.9588,Debris Burning,0.00,0.10,0,0,0,0
NEU,Placer,31555,0006558, 03/17/2019,0,PAOLI,141,961,  EB I80 AND PAOLI LN  PLACER_HILLS_FPD 95703,39.0279,-120.9764,Vehicle,0.00,0.10,0,0,0,0
MVU,San Diego,37555,0003900, 03/17/2019,0,MEDIUM WILDLAND,143,960,  EL MONTE  Lakeside 92040,33.4472,-117.4807,Under Investigation,0.00,0.10,0,0,0,0
FKU,Fresno,10032,0003565, 03/17/2019,0,DERRICK,143,931,33446 W ADAMS FLD City of Mendota 93640,36.6332,-120.3986,Debris Burning,0.00,1.80,0,0,0,0
FKU,Fresno,10032,0003579, 03/17/2019,0,S JAMES RD /W CENTRAL AVE,142,940, S JAMES RD Tranquillity 93668,36.6868,-120.2383,Campfire,0.00,0.00,0,0,0,0
NEU,Nevada,29555,0006578, 03/17/2019,0,CANYON,142,419,13818  GAS CANYON RD NCCFD84 95959,39.4362,-121.5055,Equipment,0.00,0.50,0,0,0,0
BTU,Butte,04555,0003093, 03/18/2019,0,FOREST,561,419,15333  FOREST RANCH WAY FRST_RNCH 95942,39.8736,-121.6835,Debris Burning,0.00,0.18,0,0,0,0
AEU,Amador,03555,0008076, 03/18/2019,0,TYLER,143,419,15005  TYLER RD Fiddletown 95629,38.8535,-121.2790,Debris Burning,0.00,6.00,0,0,0,0
