feature,window_size,rmse
FIRE_Acres_Burned,1,7.3677077
FIRE_Acres_Burned,3,7.3605995
FIRE_Acres_Burned,6,7.8867173
FIRE_Acres_Burned,8,8.23702
FIRE_Acres_Burned,12,8.423121
PRECIP,1,7.634751
PRECIP,3,8.285248
PRECIP,6,8.156327
PRECIP,8,6.436419
PRECIP,12,4.185345
WIND_EventCount,1,7.6558204
WIND_EventCount,3,8.497924
WIND_EventCount,6,10.95661
WIND_EventCount,8,10.852255
WIND_EventCount,12,12.97486
WIND_AvgMPH,1,8.88685
WIND_AvgMPH,3,8.62743
WIND_AvgMPH,6,9.308775
WIND_AvgMPH,8,13.075786
WIND_AvgMPH,12,11.013249
WIND_RunMiles,1,8.89123
WIND_RunMiles,3,9.185789
WIND_RunMiles,6,10.105044
WIND_RunMiles,8,9.143453
WIND_RunMiles,12,10.358798
AQI_PM25,1,7.6096005
AQI_PM25,3,8.427363
AQI_PM25,6,22.903383
AQI_PM25,8,24.091892
AQI_PM25,12,14.099674
AQI_PM10,1,6.310458
AQI_PM10,3,5.4513626
AQI_PM10,6,15.68469
AQI_PM10,8,26.287346
AQI_PM10,12,41.8846
EARTHQUAKE_Total,1,7.472374
EARTHQUAKE_Total,3,7.5854244
EARTHQUAKE_Total,6,8.583059
EARTHQUAKE_Total,8,9.135262
EARTHQUAKE_Total,12,8.669884
PESTICIDE_Total,1,7.2382307
PESTICIDE_Total,3,8.0802355
PESTICIDE_Total,6,13.102904
PESTICIDE_Total,8,13.500578
PESTICIDE_Total,12,11.4878845
