feature,window_size,rmse
FIRE_Acres_Burned,1,2.6849906
FIRE_Acres_Burned,2,2.5839646
FIRE_Acres_Burned,3,2.0163512
FIRE_Acres_Burned,4,2.2999725
FIRE_Acres_Burned,5,3.3157723
FIRE_Acres_Burned,6,2.6759865
FIRE_Acres_Burned,7,1.3200599
FIRE_Acres_Burned,8,2.5960371
FIRE_Acres_Burned,9,2.5500014
FIRE_Acres_Burned,10,3.6794312
FIRE_Acres_Burned,11,2.59302
FIRE_Acres_Burned,12,2.5549934
PRECIP,1,2.7942624
PRECIP,2,2.7287192
PRECIP,3,3.14047
PRECIP,4,2.2366688
PRECIP,5,2.5848067
PRECIP,6,2.7278128
PRECIP,7,2.5635388
PRECIP,8,2.0866804
PRECIP,9,2.6536722
PRECIP,10,2.8423676
PRECIP,11,2.5384023
PRECIP,12,2.566391
WIND_EventCount,1,2.9027987
WIND_EventCount,2,2.9935114
WIND_EventCount,3,2.559969
WIND_EventCount,4,4.480283
WIND_EventCount,5,2.4143815
WIND_EventCount,6,2.6230707
WIND_EventCount,7,2.4570155
WIND_EventCount,8,2.6057394
WIND_EventCount,9,2.69719
WIND_EventCount,10,2.5494275
WIND_EventCount,11,2.37113
WIND_EventCount,12,2.6220908
WIND_AvgMPH,1,2.7203636
WIND_AvgMPH,2,2.8007112
WIND_AvgMPH,3,2.8730555
WIND_AvgMPH,4,2.4630425
WIND_AvgMPH,5,2.28105
WIND_AvgMPH,6,2.9394417
WIND_AvgMPH,7,3.1791348
WIND_AvgMPH,8,2.6853786
WIND_AvgMPH,9,2.5747838
WIND_AvgMPH,10,1.5701734
WIND_AvgMPH,11,2.990992
WIND_AvgMPH,12,2.561757
WIND_RunMiles,1,2.8454773
WIND_RunMiles,2,2.8202212
WIND_RunMiles,3,2.8532896
WIND_RunMiles,4,2.9377027
WIND_RunMiles,5,2.5905645
WIND_RunMiles,6,2.6205297
WIND_RunMiles,7,2.6382341
WIND_RunMiles,8,2.481447
WIND_RunMiles,9,2.5092134
WIND_RunMiles,10,2.5660756
WIND_RunMiles,11,2.558592
WIND_RunMiles,12,2.5218124
AQI_PM25,1,2.7697508
AQI_PM25,2,2.8526978
AQI_PM25,3,2.6723657
AQI_PM25,4,2.7404578
AQI_PM25,5,2.6003106
AQI_PM25,6,2.6831834
AQI_PM25,7,1.8867073
AQI_PM25,8,2.680816
AQI_PM25,9,3.2805326
AQI_PM25,10,2.5915067
AQI_PM25,11,2.6306295
AQI_PM25,12,2.5924163
AQI_PM10,1,2.7692015
AQI_PM10,2,2.7959833
AQI_PM10,3,2.9162993
AQI_PM10,4,2.5827878
AQI_PM10,5,2.418953
AQI_PM10,6,2.685609
AQI_PM10,7,2.43566
AQI_PM10,8,3.367881
AQI_PM10,9,2.820832
AQI_PM10,10,2.5599234
AQI_PM10,11,3.4923859
AQI_PM10,12,2.4652355
EARTHQUAKE_Total,1,2.7635226
EARTHQUAKE_Total,2,2.7940648
EARTHQUAKE_Total,3,2.7396781
EARTHQUAKE_Total,4,2.7322874
EARTHQUAKE_Total,5,2.3504972
EARTHQUAKE_Total,6,2.664375
EARTHQUAKE_Total,7,2.3984263
EARTHQUAKE_Total,8,2.5651252
EARTHQUAKE_Total,9,4.1078234
EARTHQUAKE_Total,10,3.01941
EARTHQUAKE_Total,11,2.4646266
EARTHQUAKE_Total,12,2.9578314
PESTICIDE_Total,1,2.6912184
PESTICIDE_Total,2,2.8118136
PESTICIDE_Total,3,2.7749898
PESTICIDE_Total,4,2.6002972
PESTICIDE_Total,5,2.554865
PESTICIDE_Total,6,2.7872944
PESTICIDE_Total,7,2.7928455
PESTICIDE_Total,8,2.8651974
PESTICIDE_Total,9,2.4441617
PESTICIDE_Total,10,2.5770082
PESTICIDE_Total,11,2.594676
PESTICIDE_Total,12,2.5562925
