feature,window_size,rmse
FIRE_Acres_Burned,1,2.6728008
FIRE_Acres_Burned,3,2.2953017
FIRE_Acres_Burned,6,1.746957
FIRE_Acres_Burned,8,1.6094056
FIRE_Acres_Burned,12,1.3200803
PRECIP,1,2.7461684
PRECIP,3,2.8139677
PRECIP,6,2.6962943
PRECIP,8,2.0068896
PRECIP,12,1.0545309
WIND_EventCount,1,2.869276
WIND_EventCount,3,2.9071832
WIND_EventCount,6,2.904663
WIND_EventCount,8,2.7997322
WIND_EventCount,12,2.3851478
WIND_AvgMPH,1,2.8267465
WIND_AvgMPH,3,2.715242
WIND_AvgMPH,6,2.6879628
WIND_AvgMPH,8,2.4601538
WIND_AvgMPH,12,2.123505
WIND_RunMiles,1,2.8405173
WIND_RunMiles,3,2.687091
WIND_RunMiles,6,2.7466307
WIND_RunMiles,8,2.5038817
WIND_RunMiles,12,2.9993055
AQI_PM25,1,2.7300408
AQI_PM25,3,2.749957
AQI_PM25,6,3.0399065
AQI_PM25,8,3.1444623
AQI_PM25,12,4.146838
AQI_PM10,1,2.7456784
AQI_PM10,3,2.7089005
AQI_PM10,6,2.8828065
AQI_PM10,8,2.5500898
AQI_PM10,12,1.492792
EARTHQUAKE_Total,1,2.7420375
EARTHQUAKE_Total,3,2.7293446
EARTHQUAKE_Total,6,2.800166
EARTHQUAKE_Total,8,2.7716005
EARTHQUAKE_Total,12,2.0775483
PESTICIDE_Total,1,2.7740614
PESTICIDE_Total,3,2.7850256
PESTICIDE_Total,6,2.7355654
PESTICIDE_Total,8,2.597148
PESTICIDE_Total,12,2.176041
