feature,window_size,rmse
FIRE_Acres_Burned,1,7.3525653
FIRE_Acres_Burned,3,7.40397
FIRE_Acres_Burned,6,7.8724914
FIRE_Acres_Burned,8,8.136551
FIRE_Acres_Burned,12,8.410334
PRECIP,1,7.740452
PRECIP,3,8.226251
PRECIP,6,8.066644
PRECIP,8,6.1607323
PRECIP,12,4.3075314
WIND_EventCount,1,7.719674
WIND_EventCount,3,8.744924
WIND_EventCount,6,11.002272
WIND_EventCount,8,11.348034
WIND_EventCount,12,13.066786
WIND_AvgMPH,1,8.776056
WIND_AvgMPH,3,9.294473
WIND_AvgMPH,6,10.641694
WIND_AvgMPH,8,14.014168
WIND_AvgMPH,12,10.56603
WIND_RunMiles,1,8.830686
WIND_RunMiles,3,9.231737
WIND_RunMiles,6,10.367638
WIND_RunMiles,8,10.673541
WIND_RunMiles,12,10.192089
AQI_PM25,1,7.676273
AQI_PM25,3,8.369681
AQI_PM25,6,23.103907
AQI_PM25,8,24.431385
AQI_PM25,12,19.247114
AQI_PM10,1,6.621926
AQI_PM10,3,6.1287537
AQI_PM10,6,13.706663
AQI_PM10,8,11.984407
AQI_PM10,12,35.123463
EARTHQUAKE_Total,1,7.5140367
EARTHQUAKE_Total,3,7.6838765
EARTHQUAKE_Total,6,8.525874
EARTHQUAKE_Total,8,9.193494
EARTHQUAKE_Total,12,9.16009
PESTICIDE_Total,1,7.250264
PESTICIDE_Total,3,8.16814
PESTICIDE_Total,6,12.671917
PESTICIDE_Total,8,16.235708
PESTICIDE_Total,12,12.552011
