feature,window_size,rmse
FIRE_Acres_Burned,1,2.6751769
FIRE_Acres_Burned,2,2.4837344
FIRE_Acres_Burned,3,2.7483726
FIRE_Acres_Burned,4,2.6042833
FIRE_Acres_Burned,5,2.650062
FIRE_Acres_Burned,6,2.2990115
FIRE_Acres_Burned,7,1.7062874
FIRE_Acres_Burned,8,1.6390096
FIRE_Acres_Burned,9,1.4803784
FIRE_Acres_Burned,10,1.4678622
FIRE_Acres_Burned,11,1.6798196
FIRE_Acres_Burned,12,1.3978791
PRECIP,1,2.751164
PRECIP,2,2.7145593
PRECIP,3,2.8137133
PRECIP,4,2.7800329
PRECIP,5,2.5450811
PRECIP,6,1.973418
PRECIP,7,2.9719372
PRECIP,8,2.9426522
PRECIP,9,1.7913592
PRECIP,10,1.0936081
PRECIP,11,1.0928351
PRECIP,12,1.4711723
WIND_EventCount,1,2.8399768
WIND_EventCount,2,2.9381745
WIND_EventCount,3,2.8880734
WIND_EventCount,4,2.6858575
WIND_EventCount,5,2.8348305
WIND_EventCount,6,2.5383651
WIND_EventCount,7,2.2703612
WIND_EventCount,8,2.6433308
WIND_EventCount,9,2.6495836
WIND_EventCount,10,3.1247709
WIND_EventCount,11,3.03037
WIND_EventCount,12,2.8526564
WIND_AvgMPH,1,2.8411455
WIND_AvgMPH,2,2.9407427
WIND_AvgMPH,3,2.944422
WIND_AvgMPH,4,2.7150848
WIND_AvgMPH,5,2.7368188
WIND_AvgMPH,6,2.4142358
WIND_AvgMPH,7,2.3345308
WIND_AvgMPH,8,2.098763
WIND_AvgMPH,9,3.170717
WIND_AvgMPH,10,3.0280755
WIND_AvgMPH,11,3.1022036
WIND_AvgMPH,12,2.5039637
WIND_RunMiles,1,2.9005089
WIND_RunMiles,2,2.9885695
WIND_RunMiles,3,2.7411659
WIND_RunMiles,4,2.7263672
WIND_RunMiles,5,2.538701
WIND_RunMiles,6,2.8263123
WIND_RunMiles,7,2.0890038
WIND_RunMiles,8,2.6256323
WIND_RunMiles,9,2.970293
WIND_RunMiles,10,2.9436486
WIND_RunMiles,11,2.9577303
WIND_RunMiles,12,2.61282
AQI_PM25,1,2.7341974
AQI_PM25,2,2.7603
AQI_PM25,3,2.8188508
AQI_PM25,4,2.8071187
AQI_PM25,5,2.9913156
AQI_PM25,6,3.3618577
AQI_PM25,7,3.4962919
AQI_PM25,8,4.079002
AQI_PM25,9,2.8682342
AQI_PM25,10,2.7524564
AQI_PM25,11,4.2148447
AQI_PM25,12,3.2784402
AQI_PM10,1,2.7199233
AQI_PM10,2,2.735242
AQI_PM10,3,3.141333
AQI_PM10,4,2.8651705
AQI_PM10,5,2.1859121
AQI_PM10,6,3.054203
AQI_PM10,7,2.8114374
AQI_PM10,8,2.432839
AQI_PM10,9,2.7317464
AQI_PM10,10,1.7053208
AQI_PM10,11,2.052297
AQI_PM10,12,0.95088065
EARTHQUAKE_Total,1,2.8295913
EARTHQUAKE_Total,2,2.7965364
EARTHQUAKE_Total,3,2.771072
EARTHQUAKE_Total,4,2.9123547
EARTHQUAKE_Total,5,2.7130945
EARTHQUAKE_Total,6,2.8758435
EARTHQUAKE_Total,7,2.6460428
EARTHQUAKE_Total,8,2.7585964
EARTHQUAKE_Total,9,2.9008176
EARTHQUAKE_Total,10,2.7094567
EARTHQUAKE_Total,11,2.7070367
EARTHQUAKE_Total,12,2.2464373
PESTICIDE_Total,1,2.783629
PESTICIDE_Total,2,2.8038676
PESTICIDE_Total,3,3.1003063
PESTICIDE_Total,4,3.0208988
PESTICIDE_Total,5,2.9365182
PESTICIDE_Total,6,2.985901
PESTICIDE_Total,7,2.8808413
PESTICIDE_Total,8,3.4867845
PESTICIDE_Total,9,2.9377816
PESTICIDE_Total,10,2.3441348
PESTICIDE_Total,11,1.9600439
PESTICIDE_Total,12,1.3997458
